Año,Región,Provincia,Comuna,Rubro,CIIU,Contaminante,Emision,Huso,latitud,longitud
"2,020",Valparaíso,Valparaíso,Puchuncaví,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"1,446,879.13",19,-32.75250322,-71.47933591
"2,020",Valparaíso,Valparaíso,Puchuncaví,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"1,334,674.59",19,-32.75252209,-71.47929375
"2,020",Valparaíso,Quillota,Quillota,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"923,803.06",19,-32.93750356,-71.32189478
"2,020",Valparaíso,Valparaíso,Puchuncaví,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"861,011.86",19,-32.75255771,-71.47931608
"2,020",Valparaíso,Quillota,Quillota,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"683,972.30",19,-32.93750356,-71.32189478
"2,020",Valparaíso,Quillota,Quillota,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"574,158.25",19,-32.93648636,-71.31645724
"2,020",Valparaíso,Quillota,Calera,"Producción de cemento, cal y yeso","Fabricación de cemento, cal y yeso",Carbon dioxide,"461,008.68",19,-32.79028465,-71.20052585
"2,020",Valparaíso,Valparaíso,Quintero,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"285,560.09",19,-32.7862605,-71.48494815
"2,020",Valparaíso,Valparaíso,Quintero,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"225,612.77",19,-32.7862605,-71.48494815
"2,020",Valparaíso,Valparaíso,Viña del Mar,Otras industrias manufactureras,Fabricación de otros productos elaborados de metal n.c.p.,Carbon dioxide,"108,492.38",19,-33.05451284,-71.55777482
"2,020",Valparaíso,Valparaíso,Viña del Mar,Otras industrias manufactureras,Fabricación de otros productos elaborados de metal n.c.p.,Carbon dioxide,"108,492.38",19,-33.05451284,-71.55777482
"2,020",Valparaíso,Valparaíso,Puchuncaví,Termoeléctricas,"Generación, transmisión y distribución de energía eléctrica",Carbon dioxide,"107,694.23",19,-32.75255771,-71.47931608
"2,020",Valparaíso,San Felipe de Aconcagua,Llaillay,Otras industrias manufactureras,Fabricación de vidrio y productos de vidrio,Carbon dioxide,"83,698.00",19,-32.84819055,-70.94168992
"2,020",Valparaíso,San Felipe de Aconcagua,Llaillay,Otras industrias manufactureras,Fabricación de vidrio y productos de vidrio,Carbon dioxide,"67,551.89",19,-32.84819055,-70.94168992
"2,020",Valparaíso,Valparaíso,Concón,Otras actividades,Fabricación de gas; distribución de combustibles gaseosos por tuberías,Carbon dioxide,"66,412.39",19,-32.92743675,-71.50725826
"2,020",Valparaíso,Valparaíso,Concón,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Carbon dioxide,"61,521.03",19,-32.92439011,-71.50675531
"2,020",Valparaíso,Valparaíso,Concón,Refinería de petróleo,Fabricación de productos de la refinación del petróleo,Carbon dioxide,"47,615.63",19,-32.92439011,-71.50675531
"2,020",Valparaíso,Los Andes,Los Andes,Minería,Extracción y procesamiento de cobre,Carbon dioxide,"47,270.41",19,-32.92610542,-70.28726234
"2,020",Valparaíso,Marga Marga,Villa Alemana,Producción agropecuaria,Cría de aves de corral,Carbon dioxide,"40,077.55",19,-33.06376356,-71.32967179
